id;ifes;area;Nome;Mod;ano base;Nota;Docen;A1;A2;B1;B2;B3;B4;B5;C
12001015035P2;UFAM;CIÊNCIA E ENGENHARIA DE MATERIAIS;MATERIAIS;Acad;2013;3;15;2;2;8;1;0;0;4;0
12001015035P2;UFAM;CIÊNCIA E ENGENHARIA DE MATERIAIS;MATERIAIS;Acad;2014;3;15;2;2;9;0;0;1;3;0
12001015035P2;UFAM;CIÊNCIA E ENGENHARIA DE MATERIAIS;MATERIAIS;Acad;2015;3;15;0;2;11;3;0;2;2;0
12001015035P2;UFAM;CIÊNCIA E ENGENHARIA DE MATERIAIS;MATERIAIS;Acad;2016;3;17;5;6;5;1;0;2;2;0
12001015036P9;UFAM;PSICOLOGIA;PSICOLOGIA;Acad;2013;3;13;0;2;1;1;4;4;0;1
12001015036P9;UFAM;PSICOLOGIA;PSICOLOGIA;Acad;2015;3;15;0;8;1;2;2;4;1;1
12001015036P9;UFAM;PSICOLOGIA;PSICOLOGIA;Acad;2014;3;15;0;1;0;0;0;1;0;0
12001015036P9;UFAM;PSICOLOGIA;PSICOLOGIA;Acad;2016;3;14;0;0;0;0;4;2;2;0
12001015037P5;UFAM;LETRAS;LETRAS;Acad;2015;3;25;0;0;0;1;0;0;0;4
12001015037P5;UFAM;LETRAS;LETRAS;Acad;2014;3;24;0;0;0;3;1;0;0;4
12001015037P5;UFAM;LETRAS;LETRAS;Acad;2013;3;18;0;0;1;1;0;0;1;3
12001015037P5;UFAM;LETRAS;LETRAS;Acad;2016;3;26;0;0;1;2;1;1;0;3
12001015038P1;UFAM;BIODIVERSIDADE E BIOTECNOLOGIA - REDE BIONORTE;BIOTECNOLOGIA;Acad;2013;4;172;34;39;77;76;96;67;92;76
12001015038P1;UFAM;BIODIVERSIDADE E BIOTECNOLOGIA - REDE BIONORTE;BIOTECNOLOGIA;Acad;2014;4;173;31;50;97;71;70;102;81;85
12001015038P1;UFAM;BIODIVERSIDADE E BIOTECNOLOGIA - REDE BIONORTE;BIOTECNOLOGIA;Acad;2015;4;172;37;38;63;78;89;78;116;105
12001015038P1;UFAM;BIODIVERSIDADE E BIOTECNOLOGIA - REDE BIONORTE;BIOTECNOLOGIA;Acad;2016;4;172;34;45;78;74;97;91;87;80
